Name,URL,Activity,Location,Brands,Ads Count,Main Street Address,Main Postal Code,Main Address Locality,Additional Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRAVIS TECHNIK HOLDING GMBH,https://www.agriaffaires.co.uk/pros/list/1/gp/49.html,Dealer/ Distributor,"Germany - Hannover
                                                    (NI)",,1518 ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Urny Handel,https://www.agriaffaires.co.uk/pros/list/82946-0/1/p-urny-handel.html,Vehicle/equipment Wholesale,"Germany - Oelde
                                                    (NW)","Claas,                                                                             JCB,                                                                             Manitou,                                                                             Takeuchi,                                                                             Bobcat,                                                                             Merlo,                                                                             Linde,                                                                             Kramer,                                                                             Geringhoff",18 ads,Münsterstraße 28,59302,Oelde - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maschinenhandel Höing Gmbh & Co KG,https://www.agriaffaires.co.uk/pros/list/33152-0/1/maschinenhandel-hoing-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Gescher
                                                    (NW)","Claas,                                                                             Deutz-Fahr,                                                                             New Holland,                                                                             Case IH,                                                                             Fendt,                                                                             John Deere,                                                                             Massey Ferguson,                                                                             Challenger",17 ads,Liebigstrasse 8,48712,Gescher - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Arnstdorf,https://www.agriaffaires.co.uk/pros/list/681357-0/1/claas-sudostbayern-gmbh-arnstdorf.html,Dealer/ Distributor,"Germany - Arnstdorf
                                                    (BY)",Claas,17 ads,Schönauer Str. 29,94424,Arnstdorf - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Hirlinger,https://www.agriaffaires.co.uk/pros/list/1356867-0/1/michael-hirlinger.html,Manufacturer,"Germany - Melchingen
                                                    (BW)",,17 ads,Mittelhofen 11,72393,Melchingen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDK Kaltensundheim,https://www.agriaffaires.co.uk/pros/list/1820008-0/1/hdk-kaltensundheim.html,Vehicle/equipment Wholesale,"Germany - Kaltennordheim / OT Kaltensundheim
                                                    (TH)
                                                                        
                            (One other address)","Massey Ferguson,                                                                             Krone,                                                                             Amazone,                                                                             Schäffer,                                                                             Köckerling,                                                                             Patura,                                                                             Briol,                                                                             Stallkamp,                                                                             Kraiburg",17 ads,"Mittelsdorferstraße 23
                                                                    OT/ Kaltensundheim",36452,Kaltennordheim - Germany,Kaltennordheim (TH), Kaltennordheim / OT Kaltensundheim (TH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGRain GmbH,https://www.agriaffaires.co.uk/pros/list/446752-0/1/lgrain-gmbh.html,Vehicle/equipment Wholesale,"Germany - Wrestedt
                                                    (NI)
                                                                        
                            (One other address)",,16 ads,Zur Hasenheide 1,29559,Wrestedt - Germany,Wrestedt (NI), Wrestedt (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas Roßmann, Land- und Gartentechnik",https://www.agriaffaires.co.uk/pros/list/1962337-0/1/thomas-roszmann-land-und-gartentechnik.html,Vehicle/equipment Wholesale,"Germany - Rudelzhausen
                                                    (BY)",,16 ads,"Mainburger Str. 26
                                                                    Tegernbach",84104,Rudelzhausen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schillinger GMBH,https://www.agriaffaires.co.uk/pros/list/207913-0/1/schillinger-gmbh.html,Vehicle/equipment Wholesale,"Germany - Breisach am Rhein
                                                    (BW)","Bauer,                                                                             Green Power,                                                                             Idrofoglia",16 ads,Ihringer Landstraße 25,79206,Breisach am Rhein - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfeifer Landmaschinen,https://www.agriaffaires.co.uk/pros/list/366090-0/1/pfeifer-landmaschinen.html,Dealer/ Distributor,"Germany - Elleben OT Riechheim
                                                    (TH)","John Deere,                                                                             Steyr,                                                                             Caterpillar,                                                                             Case,                                                                             Vaderstad,                                                                             Hardi,                                                                             Dal-Bo",15 ads,Am Kranichfelder Weg 2,99334,Elleben OT Riechheim - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Freystadt,https://www.agriaffaires.co.uk/pros/list/682387-0/1/claas-nordostbayern-gmbh-co-kg-freystadt.html,Dealer/ Distributor,"Germany - Freystadt
                                                    (BY)",Claas,15 ads,Berchinger Str. 29,92342,Freystadt - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA Fahrzeug- und Maschinenbau GmbH,https://www.agriaffaires.co.uk/pros/list/411233-0/1/ropa-fahrzeug-und-maschinenbau-gmbh.html,Manufacturer,"Germany - Viersen-Boisheim
                                                    (NW)
                                                                        
                            (One other address)","Holmer,                                                                             Grimme,                                                                             Ropa,                                                                             Dewulf,                                                                             AVR,                                                                             WM Kartoffeltechnik,                                                                             Vervaet,                                                                             Agrifac",15 ads,Sittelsdorf 24,84097,Herrngiersdorf - Germany,Herrngiersdorf (BY), Viersen-Boisheim (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Weinbautechnik Zentrum Volkach,https://www.agriaffaires.co.uk/pros/list/739476-0/1/baywa-ag-weinbautechnik-zentrum-volkach.html,Dealer/ Distributor,"Germany - Volkach
                                                    (BY)
                                                                        
                            (One other address)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",14 ads,Dieselstraße 2,97332,Volkach - Germany,Volkach (BY), Volkach (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Hentschel Landtechnikhandel,https://www.agriaffaires.co.uk/pros/list/1845049-0/1/lars-hentschel-landtechnikhandel.html,Vehicle/equipment Wholesale,"Germany - Beelitz
                                                    (BR)
                                                                        
                            (One other address)",,14 ads,Bahnhofsweg 2a,14547,Beelitz - Germany,Beelitz (BR), Beelitz (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-Auction BayWa,https://www.agriaffaires.co.uk/pros/list/715910-0/1/ab-auction-baywa.html,Auction sale,"Germany - Manching
                                                    (BY)
                                                                        
                            (14 other addresses)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",13 ads,Weberstr. 9,85077,Manching - Germany,Manching (BY), Veghel (NL), Bamberg (BY), Großweitzschen (BY), Feldkirchen (BY), Giebelstadt (BY), Mindelheim (BY), Schönau (BY), Dinkelsbühl (BY), Straubing (BY), Wilzhofen (BY), Obertraubling (BY), Erbach (BY), Wülfershausen (BY), Sauerlach (BY), Manching (BY), Hofkirchen / Trattnach (AT), Attnang Puchheim (AT), Kirchdorf an der Krems (AT), Korneuburg (AT), Zwettl (AT),,,,,,,,,,,,,,,,,,,,
Handelshof GmbH Bismark,https://www.agriaffaires.co.uk/pros/list/203280-0/1/handelshof-gmbh-bismark.html,Dealer/ Distributor,"Germany - Sieversdorf-Hohenhofen
                                                    (ST)
                                                                        
                            (One other address)","New Holland,                                                                             Manitou,                                                                             Kuhn,                                                                             Weidemann,                                                                             Horsch,                                                                             Hawe",13 ads,Stendaler Straße 43,39629,Bismark - Germany,Bismark (ST), Sieversdorf-Hohenhofen (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.M.S. Agri Baden Württemberg GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/538742-0/1/e-m-s-agri-baden-wurttemberg-gmbh-co-kg.html,Dealer/ Distributor,"Germany - Vöhringen
                                                    (BW)
                                                                        
                            (4 other addresses)",,13 ads,Ferdinand-Porsche-Straße 4,72189,Vöhringen - Germany,Vöhringen (BW), Vöhringen (BW), Kunde (BW), Vöhringen (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMA Fahrzeug & Landtechnik GmbH,https://www.agriaffaires.co.uk/pros/list/500102-0/1/rema-fahrzeug-landtechnik-gmbh.html,Dealer/ Distributor,"Germany - Mittenwalde
                                                    (BR)
                                                                        
                            (One other address)",Claas,12 ads,Am Denkmal 1,14806,Bad Belzig - Germany,Bad Belzig (BR), Mittenwalde (BR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Südostbayern GmbH - Moos-Langenisarhofen,https://www.agriaffaires.co.uk/pros/list/682239-0/1/claas-sudostbayern-gmbh-moos-langenisarhofen.html,Dealer/ Distributor,"Germany - Moos-Langenisarhofen
                                                    (BY)",Claas,12 ads,Bundestr. 49,94554,Moos-Langenisarhofen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa AG Murnau,https://www.agriaffaires.co.uk/pros/list/683015-0/1/baywa-ag-murnau.html,Dealer/ Distributor,"Germany - Murnau
                                                    (BY)
                                                                        
                            (2 other addresses)","Valtra,                                                                             Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",12 ads,Straßäcker 31,82418,Murnau am Staffelsee - Germany,Murnau am Staffelsee (BY), Murnau (BY), Murnau (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer Maschinenbau GmbH,https://www.agriaffaires.co.uk/pros/list/1253919-0/1/bremer-maschinenbau-gmbh.html,Manufacturer,"Germany - Hohenhameln
                                                    (NI)",Bremer,12 ads,Schmiedestraße 10,31249,Hohenhameln - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLMER Maschinenbau GmbH,https://www.agriaffaires.co.uk/pros/list/489324-0/1/holmer-maschinenbau-gmbh.html,Manufacturer,"Germany - Schierling, OT Eggmühl
                                                    (BY)",,12 ads,Regensburger Strasse 20,84069,"Schierling, OT Eggmühl - Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorbacher GmbH,https://www.agriaffaires.co.uk/pros/list/439039-0/1/chorbacher-gmbh.html,Vehicle/equipment Wholesale,"Germany - Colmberg
                                                    (BY)",,11 ads,Am Markt 11,91598,Colmberg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUMM Technik,https://www.agriaffaires.co.uk/pros/list/1838058-0/1/kumm-technik.html,Manufacturer,"Germany - Meppen
                                                    (NW)
                                                                        
                            (2 other addresses)",,11 ads,Industriepark 70 -74,56593,Krunkel - Germany,Krunkel (NW), Meppen (NW), Klein Berßen (NW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Wassertrüdingen,https://www.agriaffaires.co.uk/pros/list/682320-0/1/claas-main-donau-gmbh-co-kg-wassertrudingen.html,Dealer/ Distributor,"Germany - Wassertrüdingen
                                                    (BY)",Claas,10 ads,Bahnhofstraße 34,91717,Wassertrüdingen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Schlüsselfeld,https://www.agriaffaires.co.uk/pros/list/682336-0/1/claas-main-donau-gmbh-co-kg-schlusselfeld.html,Dealer/ Distributor,"Germany - Schlüsselfeld
                                                    (BY)",Claas,10 ads,Steinäcker 4,96132,Schlüsselfeld - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau GmbH & Co. KG - Werneck,https://www.agriaffaires.co.uk/pros/list/682339-0/1/claas-main-donau-gmbh-co-kg-werneck.html,Dealer/ Distributor,"Germany - Werneck
                                                    (BY)",Claas,10 ads,Am Pfaffenpfad 19,97440,Werneck - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau GmbH & Co. KG - Gollhofen,https://www.agriaffaires.co.uk/pros/list/682343-0/1/claas-main-donau-gmbh-co-kg-gollhofen.html,Dealer/ Distributor,"Germany - Gollhofen
                                                    (BY)",Claas,10 ads,Südstraße 6,97258,Gollhofen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Günter Sieben Landtechnik,https://www.agriaffaires.co.uk/pros/list/327884-0/1/gunter-sieben-landtechnik.html,Vehicle/equipment Wholesale,"Germany - Jülich
                                                    (NW)",,10 ads,Rudolf-Diesel-Str. 1,52428,Jülich - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurer GmbH,https://www.agriaffaires.co.uk/pros/list/1485835-0/1/maurer-gmbh.html,Dealer/ Distributor,"Germany - Rheinhausen
                                                    (BW)",,10 ads,Neuweg 4,79365,Rheinhausen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilken Fahrzeugbau,https://www.agriaffaires.co.uk/pros/list/1971154-0/1/hilken-fahrzeugbau.html,Manufacturer,"Germany - Vorwerk
                                                    (NI)
                                                                        
                            (One other address)",,10 ads,Große Straße 16,27412,Vorwerk - OT Buchholz - Germany,Vorwerk - OT Buchholz (NI), Vorwerk (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APS Agrar-und Industrietechnik GmbH & Co.KG,https://www.agriaffaires.co.uk/pros/list/761521-0/1/aps-agrar-und-industrietechnik-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Schwanewede
                                                    (NI)
                                                                        
                            (One other address)",,10 ads,Hünenstein 22,28790,Schwanewede - Germany,Schwanewede (NI), Schwanewede (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Tec West,https://www.agriaffaires.co.uk/pros/list/632931-0/1/new-tec-west.html,Dealer/ Distributor,"Germany - Peine
                                                    (NI)
                                                                        
                            (5 other addresses)","Amazone,                                                                             Berthoud,                                                                             Vaderstad,                                                                             Lemken,                                                                             Horsch,                                                                             Köckerling,                                                                             Kerner,                                                                             Dammann,                                                                             Inuma",9 ads,Delitzscher Straße 15,6188,Landsberg OT Sietzsch - Germany,Landsberg OT Sietzsch (ST), Peine (NI), Landsberg OT Sietzsch  (ST), Peine (NI), Landsberg OT Sietzsch  (ST), Landsberg OT Sietzsch  (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELIMPEX-Handels GmbH,https://www.agriaffaires.co.uk/pros/list/1969635-0/1/belimpex-handels-gmbh.html,Importer,"Germany - Wermsdorf OT Wiederoda
                                                    (SN)
                                                                        
                            (One other address)",,9 ads,Gräfestr. 33,4129,Leipzig - Germany,Leipzig (SN), Wermsdorf OT Wiederoda (SN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land- und Kommunalmaschinen,https://www.agriaffaires.co.uk/pros/list/441511-0/1/land-und-kommunalmaschinen.html,Vehicle/equipment Wholesale,"Germany - Meerane
                                                    (SN)","Kuhn,                                                                             Vaderstad,                                                                             Hardi,                                                                             Schäffer,                                                                             Rauch,                                                                             Hawe,                                                                             Conow,                                                                             Tuchel",9 ads,Seiferitzer Schulweg 3c,8393,Meerane - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land- & Gartentechnik Aschersleben GmbH,https://www.agriaffaires.co.uk/pros/list/816941-0/1/land-gartentechnik-aschersleben-gmbh.html,Vehicle/equipment Wholesale,"Germany - Aschersleben
                                                    (ST)",,9 ads,Am Spittelsberg 12,6449,Aschersleben - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landmaschinen Roschwitz,https://www.agriaffaires.co.uk/pros/list/199617-0/1/landmaschinen-roschwitz.html,Dealer/ Distributor,"Germany - Bernburg
                                                    (ST)
                                                                        
                            (One other address)","Massey Ferguson,                                                                             Merlo,                                                                             Kverneland,                                                                             Weidemann",8 ads,Th.Mützer 39,6406,Bernburg - Germany,Bernburg (ST), Bernburg (ST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallentin & Partner GmbH,https://www.agriaffaires.co.uk/pros/list/81308-0/1/wallentin-partner-gmbh.html,Dealer/ Distributor,"Germany - Wesenberg
                                                    (MV)","Massey Ferguson,                                                                             Kubota,                                                                             Krone,                                                                             Kuhn,                                                                             Belarus,                                                                             Husqvarna",8 ads,Wustrower Chaussee 1a,17255,Wesenberg - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS Maschinenhandel,https://www.agriaffaires.co.uk/pros/list/1866592-0/1/ds-maschinenhandel.html,Vehicle/equipment Wholesale,"Germany - Königsbronn
                                                    (BW)",,8 ads,Paul Reusch Str. 50,89551,Königsbronn - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartl GmbH,https://www.agriaffaires.co.uk/pros/list/1647626-0/1/hartl-gmbh.html,Vehicle/equipment Wholesale,"Germany - Affing
                                                    (BY)",,8 ads,"Augsburger Str. 20a
                                                                    OT Mühlhausen",86444,Affing - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Schwandorf,https://www.agriaffaires.co.uk/pros/list/682553-0/1/claas-nordostbayern-gmbh-co-kg-schwandorf.html,Dealer/ Distributor,"Germany - Schwandorf
                                                    (BY)
                                                                        
                            (One other address)",Claas,7 ads,Max-Planck-Str. 12,92421,Schwandorf - Germany,Schwandorf (BY), Schwandorf (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa Oberschöna,https://www.agriaffaires.co.uk/pros/list/739496-0/1/baywa-oberschona.html,Dealer/ Distributor,"Germany - Oberschöna
                                                    (SN)","Claas,                                                                             Fendt,                                                                             Massey Ferguson,                                                                             Pöttinger,                                                                             Horsch,                                                                             Maschio",7 ads,Alte Salzstrasse 1,9600,Oberschöna - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Güttler GmbH,https://www.agriaffaires.co.uk/pros/list/219639-0/1/guttler-gmbh.html,Manufacturer,"Germany - Kirchheim/Teck
                                                    (BW)",,7 ads,Karl-Arnold-Str. 10,73230,Kirchheim/Teck - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNI-mobile GmbH,https://www.agriaffaires.co.uk/pros/list/1867506-0/1/uni-mobile-gmbh.html,Vehicle/equipment Wholesale,"Germany - Hörselberg-Hainich
                                                    (TH)","Eurotrac,                                                                             Branson,                                                                             Lovol,                                                                             Linhai,                                                                             UTV International",7 ads,Am Noßbach 1,99820,Hörselberg-Hainich - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBERS GmbH,https://www.agriaffaires.co.uk/pros/list/310634-0/1/webers-gmbh.html,Dealer/ Distributor,"Germany - Horstmar
                                                    (NW)","Kuhn,                                                                             Faresin,                                                                             Strautmann,                                                                             sgariboldi,                                                                             Siloking,                                                                             BVL,                                                                             Trioliet,                                                                             Stoll,                                                                             Marchner,                                                                             RMH",7 ads,Schagern 22,48612,Horstmar - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radlmaier Land- u. Kommunaltechnik,https://www.agriaffaires.co.uk/pros/list/423383-0/1/radlmaier-land-u-kommunaltechnik.html,Dealer/ Distributor,"Germany - Babensham
                                                    (BY)",Deutz-Fahr,7 ads,Griesmeier 1,83547,Babensham - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Blue Trading GmbH,https://www.agriaffaires.co.uk/pros/list/1929514-0/1/new-blue-trading-gmbh.html,Dealer/ Distributor,"Germany - Westertimke
                                                    (HB)
                                                                        
                            (3 other addresses)",,7 ads,Sunrenkamp 59,22335,Hamburg - Germany,Hamburg (HH), Westertimke (HB), Westertimke (HB), Westertimke (HB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwab & Jaeger,https://www.agriaffaires.co.uk/pros/list/1880476-0/1/schwab-jaeger.html,Dealer/ Distributor,"Germany - Fünfstetten
                                                    (BY)","John Deere,                                                                             Krone,                                                                             Kemper,                                                                             Kuhn,                                                                             Joskin,                                                                             Kramer,                                                                             Kerner,                                                                             Bogballe",7 ads,Bahnhofstraße 12,86681,Fünfstetten - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rottmann Group GmbH,https://www.agriaffaires.co.uk/pros/list/1852084-0/1/rottmann-group-gmbh.html,Vehicle/equipment Wholesale,"Germany - Ahaus
                                                    (NW)","Buschhoff,                                                                             Tropper,                                                                             Gmelin",6 ads,Boschstraße 10,48683,Ahaus - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURATEC GmbH,https://www.agriaffaires.co.uk/pros/list/298203-0/1/naturatec-gmbh.html,Dealer/ Distributor,"Germany - Owingen
                                                    (BW)","Fendt,                                                                             Seppi,                                                                             FAE,                                                                             Prinoth,                                                                             AHWI,                                                                             Willibald,                                                                             Terra Select,                                                                             Backhus,                                                                             Forus",6 ads,Zeppelinring 4,88696,Owingen - Germany,Owingen (BW), Wädenswil (CH), Wädenswil (CH), Wädenswil (CH), Wädenswil (CH), Feldkirch (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiffeisen-Techni-Trak GmbH,https://www.agriaffaires.co.uk/pros/list/421090-0/1/raiffeisen-techni-trak-gmbh.html,Dealer/ Distributor,"Germany - Marburg-Cappel
                                                    (TH)
                                                                        
                            (24 other addresses)",,5 ads,Am Feldschlößchen 8,99439,Buttelstedt - Germany,Buttelstedt (TH), Bad Hersfeld (TH), Bebra (TH), Beedenbostel (TH), Buttelstedt (TH), Ebeleben (TH), Frankenberg (TH), Gadenstedt (TH), Gera (TH), Gudensberg (TH), Hillerse (TH), Hofgeismar (TH), Homberg (TH), Kiel (TH), Korbach (TH), Linsengericht-Altenhaßlau (TH), Marburg-Cappel (TH), Petersberg (TH), Tüttleben (TH), Untermaßfeld (TH), Voitze (TH), Wehretal-Hoheneiche  (TH), Weinbergen-Bollstedt (TH), Wipperdorf (TH), Wittingen (TH),,,,,,,,,,,,,,,,
Landmaschinenhandel Udo Seibert Seibert-LKG,https://www.agriaffaires.co.uk/pros/list/396135-0/1/landmaschinenhandel-udo-seibert-seibert-lkg.html,Dealer/ Distributor,"Germany - Babenhausen
                                                    (HE)",Valtra,5 ads,Ziegelhüttenstraße 48,64832,Babenhausen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horst Körner GmbH & Co. KG,https://www.agriaffaires.co.uk/pros/list/556698-0/1/horst-korner-gmbh-co-kg.html,Vehicle/equipment Wholesale,"Germany - Kirkel-Altstadt
                                                    (SL)",,5 ads,Homburger Str. 19,66459,Kirkel-Altstadt - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Wülfershausen,https://www.agriaffaires.co.uk/pros/list/682300-0/1/claas-main-donau-gmbh-co-kg-wulfershausen.html,Dealer/ Distributor,"Germany - Wülfershausen
                                                    (BY)",Claas,5 ads,Am Angertor 8,97618,Wülfershausen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Main-Donau  GmbH & Co. KG - Allershausen,https://www.agriaffaires.co.uk/pros/list/682326-0/1/claas-main-donau-gmbh-co-kg-allershausen.html,Dealer/ Distributor,"Germany - Allershausen
                                                    (BY)",Claas,5 ads,Bürgermeister-Sgoff-Straße 2,85391,Allershausen - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAAS Nordostbayern GmbH & Co. KG - Bad Abbach,https://www.agriaffaires.co.uk/pros/list/682560-0/1/claas-nordostbayern-gmbh-co-kg-bad-abbach.html,Dealer/ Distributor,"Germany - Saalhaupt
                                                    (BY)
                                                                        
                            (One other address)",Claas,5 ads,Lindenstr. 7,93077,Bad Abbach - Germany,Bad Abbach (BY), Saalhaupt (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v.Pflug-Maurer GmbH,https://www.agriaffaires.co.uk/pros/list/174458-0/1/v-pflug-maurer-gmbh.html,Vehicle/equipment Wholesale,"Germany - Kappel - Grafenhausen
                                                    (BW)
                                                                        
                            (2 other addresses)","Monosem,                                                                             Dal-Bo,                                                                             Breviglieri,                                                                             Bogballe",5 ads,Feldstraße 76,77972,Mahlberg-Orschweier - Germany,Mahlberg-Orschweier (BW), Mahlberg-Orschweier (BW), Kappel - Grafenhausen (BW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forstag GmbH,https://www.agriaffaires.co.uk/pros/list/517630-0/1/forstag-gmbh.html,Vehicle/equipment Wholesale,"Germany - March
                                                    (BW)",,5 ads,HOFSTRASSE 4a,79232,March - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC Technikland GmbH,https://www.agriaffaires.co.uk/pros/list/36302-0/1/amc-technikland-gmbh.html,Dealer/ Distributor,"Germany - Taucha
                                                    (SN)",,5 ads,Idastrasse 43,4425,Taucha - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Wittrock GmbH,https://www.agriaffaires.co.uk/pros/list/175030-0/1/hans-wittrock-gmbh.html,Dealer/ Distributor,"Germany - Ratekau
                                                    (NI)
                                                                        
                            (3 other addresses)",Claas,5 ads,Dorfstrasse 38,26899,Rhede/ Brual - Germany,Rhede/ Brual (NI), Georgsheil (NI), Ratekau (NI), Rhede / Brual (NI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euromaster GmbH,https://www.agriaffaires.co.uk/pros/list/1178276-0/1/euromaster-gmbh.html,Vehicle/equipment Wholesale,"Germany - Leer
                                                    (NI)
                                                                        
                            (4 other addresses)","Michelin,                                                                             Kleber,                                                                             Trelleborg,                                                                             Alliance,                                                                             Mitas,                                                                             BKT,                                                                             Vredestein,                                                                             Firestone",5 ads,Theodor-Heuss-Anlage 12,68165,Mannheim - Germany,Mannheim (BW), Nürnberg (BY), Leer (NI), Nürnberg (BY), Würzburg (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoffmann Maschinen,https://www.agriaffaires.co.uk/pros/list/1034866-0/1/hoffmann-maschinen.html,Vehicle/equipment Wholesale,"Germany - Weigendorf
                                                    (BY)
                                                                        
                            (One other address)",,4 ads,Bahnweg 3,91249,Weigendorf - Germany,Weigendorf (BY), Weigendorf (BY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHR. WILLEMSEN GmbH,https://www.agriaffaires.co.uk/pros/list/342175-0/1/chr-willemsen-gmbh.html,Dealer/ Distributor,"Germany - Stadtlohn
                                                    (NW)",,4 ads,Düster Stegge 60,48703,Stadtlohn - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasper Baumaschinen e.K.,https://www.agriaffaires.co.uk/pros/list/113224-0/1/kasper-baumaschinen-e-k.html,Vehicle/equipment Wholesale,"Germany - Kastellaun
                                                    (RP)",,3 ads,Auf Dornbruch 11,56288,Kastellaun - Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
